Datetime,T_Outdoor(C),H_Outdoor(g/m3),CO2_Outdoor(g/m3),Radiation_Outdoor(w/m2)
2022-07-01T00:00:00,21.70,11.06,0.75,0.00
2022-07-01T00:05:00,21.62,11.06,0.75,0.00
2022-07-01T00:10:00,21.55,11.06,0.76,0.00
2022-07-01T00:15:00,21.48,11.06,0.76,0.00
2022-07-01T00:20:00,21.40,11.06,0.76,0.00
2022-07-01T00:25:00,21.32,11.06,0.76,0.00
2022-07-01T00:30:00,21.25,11.06,0.76,0.00
2022-07-01T00:35:00,21.18,11.06,0.76,0.00
2022-07-01T00:40:00,21.10,11.05,0.76,0.00
2022-07-01T00:45:00,21.02,11.05,0.76,0.00
2022-07-01T00:50:00,20.95,11.05,0.76,0.00
2022-07-01T00:55:00,20.88,11.05,0.76,0.00
2022-07-01T01:00:00,20.80,11.04,0.76,0.00
2022-07-01T01:05:00,20.74,11.04,0.76,0.00
2022-07-01T01:10:00,20.68,11.03,0.76,0.00
2022-07-01T01:15:00,20.62,11.02,0.76,0.00
2022-07-01T01:20:00,20.57,11.01,0.76,0.00
2022-07-01T01:25:00,20.51,11.01,0.76,0.00
2022-07-01T01:30:00,20.45,11.00,0.76,0.00
2022-07-01T01:35:00,20.39,10.99,0.76,0.00
2022-07-01T01:40:00,20.33,10.98,0.76,0.00
2022-07-01T01:45:00,20.28,10.97,0.76,0.00
2022-07-01T01:50:00,20.22,10.97,0.76,0.00
2022-07-01T01:55:00,20.16,10.96,0.76,0.00
2022-07-01T02:00:00,20.10,10.95,0.76,0.00
2022-07-01T02:05:00,20.08,10.92,0.76,0.00
2022-07-01T02:10:00,20.05,10.89,0.76,0.00
2022-07-01T02:15:00,20.03,10.86,0.76,0.00
2022-07-01T02:20:00,20.00,10.83,0.76,0.00
2022-07-01T02:25:00,19.98,10.80,0.76,0.00
2022-07-01T02:30:00,19.95,10.77,0.76,0.00
2022-07-01T02:35:00,19.92,10.74,0.76,0.00
2022-07-01T02:40:00,19.90,10.71,0.76,0.00
2022-07-01T02:45:00,19.88,10.68,0.76,0.00
2022-07-01T02:50:00,19.85,10.65,0.76,0.00
2022-07-01T02:55:00,19.82,10.62,0.76,0.00
2022-07-01T03:00:00,19.80,10.59,0.76,0.00
2022-07-01T03:05:00,19.79,10.55,0.76,0.00
2022-07-01T03:10:00,19.78,10.52,0.76,0.00
2022-07-01T03:15:00,19.77,10.49,0.76,0.00
2022-07-01T03:20:00,19.77,10.45,0.76,0.00
2022-07-01T03:25:00,19.76,10.42,0.76,0.00
2022-07-01T03:30:00,19.75,10.39,0.76,0.00
2022-07-01T03:35:00,19.74,10.35,0.76,0.00
2022-07-01T03:40:00,19.73,10.32,0.76,0.00
2022-07-01T03:45:00,19.73,10.29,0.76,0.00
2022-07-01T03:50:00,19.72,10.25,0.76,0.00
2022-07-01T03:55:00,19.71,10.22,0.76,0.00
2022-07-01T04:00:00,19.70,10.19,0.76,0.00
2022-07-01T04:05:00,19.69,10.18,0.76,0.00
2022-07-01T04:10:00,19.68,10.18,0.76,0.00
2022-07-01T04:15:00,19.68,10.17,0.76,0.00
2022-07-01T04:20:00,19.67,10.17,0.76,0.00
2022-07-01T04:25:00,19.66,10.16,0.76,0.00
2022-07-01T04:30:00,19.65,10.16,0.76,0.00
2022-07-01T04:35:00,19.64,10.15,0.76,0.00
2022-07-01T04:40:00,19.63,10.15,0.76,0.00
2022-07-01T04:45:00,19.62,10.14,0.76,0.00
2022-07-01T04:50:00,19.62,10.14,0.76,0.00
2022-07-01T04:55:00,19.61,10.13,0.76,0.00
2022-07-01T05:00:00,19.60,10.13,0.76,0.00
2022-07-01T05:05:00,19.60,10.14,0.76,0.42
2022-07-01T05:10:00,19.60,10.15,0.76,0.83
2022-07-01T05:15:00,19.60,10.17,0.76,1.25
2022-07-01T05:20:00,19.60,10.18,0.76,1.67
2022-07-01T05:25:00,19.60,10.20,0.76,2.08
2022-07-01T05:30:00,19.60,10.21,0.76,2.50
2022-07-01T05:35:00,19.60,10.22,0.76,2.92
2022-07-01T05:40:00,19.60,10.24,0.76,3.33
2022-07-01T05:45:00,19.60,10.25,0.76,3.75
2022-07-01T05:50:00,19.60,10.27,0.76,4.17
2022-07-01T05:55:00,19.60,10.28,0.76,4.58
2022-07-01T06:00:00,19.60,10.30,0.76,5.00
2022-07-01T06:05:00,19.68,10.36,0.76,11.67
2022-07-01T06:10:00,19.77,10.42,0.76,18.33
2022-07-01T06:15:00,19.85,10.49,0.76,25.00
2022-07-01T06:20:00,19.93,10.56,0.76,31.67
2022-07-01T06:25:00,20.02,10.62,0.76,38.33
2022-07-01T06:30:00,20.10,10.69,0.76,45.00
2022-07-01T06:35:00,20.18,10.76,0.76,51.67
2022-07-01T06:40:00,20.27,10.82,0.76,58.33
2022-07-01T06:45:00,20.35,10.89,0.76,65.00
2022-07-01T06:50:00,20.43,10.96,0.76,71.67
2022-07-01T06:55:00,20.52,11.03,0.76,78.33
2022-07-01T07:00:00,20.60,11.09,0.76,85.00
2022-07-01T07:05:00,20.79,11.23,0.76,98.33
2022-07-01T07:10:00,20.98,11.38,0.76,111.67
2022-07-01T07:15:00,21.18,11.52,0.75,125.00
2022-07-01T07:20:00,21.37,11.66,0.75,138.33
2022-07-01T07:25:00,21.56,11.81,0.75,151.67
2022-07-01T07:30:00,21.75,11.96,0.75,165.00
2022-07-01T07:35:00,21.94,12.10,0.75,178.33
2022-07-01T07:40:00,22.13,12.26,0.75,191.67
2022-07-01T07:45:00,22.32,12.41,0.75,205.00
2022-07-01T07:50:00,22.52,12.56,0.75,218.33
2022-07-01T07:55:00,22.71,12.72,0.75,231.67
2022-07-01T08:00:00,22.90,12.88,0.75,245.00
2022-07-01T08:05:00,23.09,12.93,0.75,256.92
