Datetime,T_Outdoor(C),H_Outdoor(g/m3),RH_Outdoor(%),CO2_Outdoor(g/m3),CO2_Outdoor(ppm),Radiation_Outdoor(w/m2),Datetime,T_Outdoor(C),H_Outdoor(g/m3),RH_Outdoor(%),CO2_Outdoor(g/m3),CO2_Outdoor(ppm),Radiation_Outdoor(w/m2)
2026-01-01T00:00:00,-1.6,3.56,82.07,0.82,415.17,0,2025-07-01T00:00:00,23.2,19.75,95.18,0.76,419.94,0
2026-01-01T00:05:00,-1.7,3.51,81.49,0.82,415.02,0,2025-07-01T00:05:00,23.18,19.73,95.19,0.76,419.91,0
2026-01-01T00:10:00,-1.8,3.47,81.12,0.82,414.87,0,2025-07-01T00:10:00,23.17,19.71,95.15,0.76,419.9,0
2026-01-01T00:15:00,-1.9,3.42,80.52,0.82,414.72,0,2025-07-01T00:15:00,23.15,19.69,95.16,0.76,419.87,0
2026-01-01T00:20:00,-2,3.38,80.13,0.82,414.56,0,2025-07-01T00:20:00,23.13,19.67,95.17,0.76,419.84,0
2026-01-01T00:25:00,-2.1,3.33,79.5,0.82,414.41,0,2025-07-01T00:25:00,23.12,19.65,95.13,0.76,419.82,0
2026-01-01T00:30:00,-2.2,3.29,79.1,0.82,414.26,0,2025-07-01T00:30:00,23.1,19.64,95.19,0.76,419.8,0
2026-01-01T00:35:00,-2.3,3.24,78.45,0.82,414.1,0,2025-07-01T00:35:00,23.08,19.62,95.2,0.76,419.77,0
2026-01-01T00:40:00,-2.4,3.2,78.02,0.82,413.95,0,2025-07-01T00:40:00,23.07,19.6,95.16,0.76,419.75,0
2026-01-01T00:45:00,-2.5,3.16,77.59,0.82,413.8,0,2025-07-01T00:45:00,23.05,19.58,95.17,0.76,419.73,0
2026-01-01T00:50:00,-2.6,3.12,77.15,0.82,413.64,0,2025-07-01T00:50:00,23.03,19.56,95.18,0.76,419.7,0
2026-01-01T00:55:00,-2.7,3.07,76.45,0.83,418.53,0,2025-07-01T00:55:00,23.02,19.54,95.14,0.76,419.68,0
2026-01-01T01:00:00,-2.8,3.03,75.99,0.83,418.38,0,2025-07-01T01:00:00,23,19.52,95.15,0.76,419.65,0
2026-01-01T01:05:00,-2.92,3.02,76.38,0.83,418.19,0,2025-07-01T01:05:00,22.99,19.51,95.16,0.76,419.64,0
2026-01-01T01:10:00,-3.03,3.01,76.72,0.83,418.02,0,2025-07-01T01:10:00,22.98,19.5,95.16,0.76,419.63,0
2026-01-01T01:15:00,-3.15,3.01,77.38,0.83,417.84,0,2025-07-01T01:15:00,22.98,19.5,95.16,0.76,419.63,0
2026-01-01T01:20:00,-3.27,3,77.78,0.83,417.65,0,2025-07-01T01:20:00,22.97,19.49,95.17,0.76,419.61,0
2026-01-01T01:25:00,-3.38,2.99,78.13,0.83,417.48,0,2025-07-01T01:25:00,22.96,19.48,95.17,0.76,419.6,0
2026-01-01T01:30:00,-3.5,2.98,78.53,0.83,417.3,0,2025-07-01T01:30:00,22.95,19.47,95.18,0.76,419.58,0
2026-01-01T01:35:00,-3.62,2.97,78.94,0.83,417.11,0,2025-07-01T01:35:00,22.94,19.46,95.18,0.76,419.57,0
2026-01-01T01:40:00,-3.73,2.96,79.29,0.83,416.94,0,2025-07-01T01:40:00,22.93,19.45,95.19,0.76,419.55,0
2026-01-01T01:45:00,-3.85,2.95,79.7,0.83,416.75,0,2025-07-01T01:45:00,22.92,19.44,95.2,0.76,419.54,0
2026-01-01T01:50:00,-3.97,2.94,80.11,0.83,416.57,0,2025-07-01T01:50:00,22.92,19.43,95.15,0.76,419.54,0
2026-01-01T01:55:00,-4.08,2.93,80.46,0.83,416.4,0,2025-07-01T01:55:00,22.91,19.42,95.15,0.76,419.53,0
2026-01-01T02:00:00,-4.2,2.93,81.16,0.83,416.21,0,2025-07-01T02:00:00,22.9,19.41,95.16,0.76,419.51,0
2026-01-01T02:05:00,-4.33,2.9,81.07,0.83,416.01,0,2025-07-01T02:05:00,22.88,19.38,95.12,0.76,419.48,0
2026-01-01T02:10:00,-4.45,2.87,80.93,0.83,415.83,0,2025-07-01T02:10:00,22.85,19.36,95.18,0.76,419.44,0
2026-01-01T02:15:00,-4.58,2.85,81.11,0.83,415.63,0,2025-07-01T02:15:00,22.82,19.33,95.2,0.76,419.4,0
2026-01-01T02:20:00,-4.7,2.82,80.95,0.83,415.44,0,2025-07-01T02:20:00,22.8,19.3,95.16,0.76,419.37,0
2026-01-01T02:25:00,-4.83,2.8,81.13,0.83,415.24,0,2025-07-01T02:25:00,22.77,19.27,95.18,0.76,419.33,0
2026-01-01T02:30:00,-4.95,2.77,80.96,0.83,415.05,0,2025-07-01T02:30:00,22.75,19.25,95.19,0.76,419.3,0
2026-01-01T02:35:00,-5.08,2.75,81.13,0.83,414.85,0,2025-07-01T02:35:00,22.73,19.22,95.15,0.76,419.27,0
2026-01-01T02:40:00,-5.2,2.72,80.94,0.83,414.67,0,2025-07-01T02:40:00,22.7,19.19,95.16,0.76,419.23,0
2026-01-01T02:45:00,-5.33,2.7,81.1,0.84,419.46,0,2025-07-01T02:45:00,22.68,19.16,95.12,0.76,419.2,0
2026-01-01T02:50:00,-5.45,2.67,80.89,0.84,419.27,0,2025-07-01T02:50:00,22.65,19.14,95.19,0.76,419.16,0
2026-01-01T02:55:00,-5.58,2.65,81.04,0.84,419.07,0,2025-07-01T02:55:00,22.62,19.11,95.2,0.76,419.12,0
2026-01-01T03:00:00,-5.7,2.63,81.13,0.84,418.88,0,2025-07-01T03:00:00,22.6,19.08,95.16,0.76,419.09,0
2026-01-01T03:05:00,-5.76,2.61,80.87,0.84,418.78,0,2025-07-01T03:05:00,22.61,19.09,95.16,0.76,419.1,0
2026-01-01T03:10:00,-5.82,2.59,80.6,0.84,418.69,0,2025-07-01T03:10:00,22.62,19.1,95.15,0.76,419.12,0
2026-01-01T03:15:00,-5.88,2.58,80.63,0.84,418.6,0,2025-07-01T03:15:00,22.62,19.11,95.2,0.76,419.12,0
2026-01-01T03:20:00,-5.93,2.56,80.3,0.84,418.52,0,2025-07-01T03:20:00,22.63,19.12,95.2,0.76,419.13,0
2026-01-01T03:25:00,-5.99,2.54,80.02,0.84,418.42,0,2025-07-01T03:25:00,22.64,19.13,95.19,0.76,419.14,0
2026-01-01T03:30:00,-6.05,2.53,80.05,0.84,418.33,0,2025-07-01T03:30:00,22.65,19.14,95.19,0.76,419.16,0
2026-01-01T03:35:00,-6.11,2.51,79.77,0.84,418.24,0,2025-07-01T03:35:00,22.66,19.14,95.13,0.76,419.17,0
2026-01-01T03:40:00,-6.17,2.5,79.79,0.84,418.14,0,2025-07-01T03:40:00,22.67,19.15,95.13,0.76,419.19,0
2026-01-01T03:45:00,-6.23,2.48,79.5,0.84,418.05,0,2025-07-01T03:45:00,22.68,19.16,95.12,0.76,419.2,0
2026-01-01T03:50:00,-6.28,2.47,79.47,0.84,417.97,0,2025-07-01T03:50:00,22.68,19.17,95.17,0.76,419.2,0
2026-01-01T03:55:00,-6.34,2.45,79.17,0.84,417.88,0,2025-07-01T03:55:00,22.69,19.18,95.17,0.76,419.21,0
2026-01-01T04:00:00,-6.4,2.43,78.87,0.84,417.78,0,2025-07-01T04:00:00,22.7,19.19,95.16,0.76,419.23,0
2026-01-01T04:05:00,-6.54,2.41,79.02,0.84,417.56,0,2025-07-01T04:05:00,22.72,19.2,95.1,0.76,419.26,0
2026-01-01T04:10:00,-6.68,2.38,78.84,0.84,417.34,0,2025-07-01T04:10:00,22.75,19.21,94.99,0.76,419.3,0
2026-01-01T04:15:00,-6.83,2.35,78.7,0.84,417.11,0,2025-07-01T04:15:00,22.77,19.22,94.93,0.76,419.33,0
2026-01-01T04:20:00,-6.97,2.33,78.83,0.84,416.89,0,2025-07-01T04:20:00,22.8,19.23,94.82,0.76,419.37,0
2026-01-01T04:25:00,-7.11,2.3,78.62,0.84,416.67,0,2025-07-01T04:25:00,22.82,19.24,94.76,0.76,419.4,0
2026-01-01T04:30:00,-7.25,2.27,78.39,0.84,416.45,0,2025-07-01T04:30:00,22.85,19.25,94.64,0.76,419.44,0
2026-01-01T04:35:00,-7.39,2.25,78.5,0.84,416.23,0,2025-07-01T04:35:00,22.88,19.26,94.53,0.76,419.48,0
2026-01-01T04:40:00,-7.53,2.22,78.26,0.84,416.01,0,2025-07-01T04:40:00,22.9,19.28,94.52,0.76,419.51,0
2026-01-01T04:45:00,-7.67,2.2,78.35,0.84,415.79,0,2025-07-01T04:45:00,22.93,19.29,94.41,0.76,419.55,0
2026-01-01T04:50:00,-7.82,2.17,78.14,0.85,420.51,0,2025-07-01T04:50:00,22.95,19.3,94.35,0.76,419.58,0
2026-01-01T04:55:00,-7.96,2.15,78.23,0.85,420.28,0,2025-07-01T04:55:00,22.98,19.31,94.24,0.76,419.63,0
2026-01-01T05:00:00,-8.1,2.12,77.94,0.85,420.06,0,2025-07-01T05:00:00,23,19.32,94.18,0.76,419.65,0
2026-01-01T05:05:00,-8.14,2.12,78.17,0.85,420,0,2025-07-01T05:05:00,23.02,19.32,94.07,0.76,419.68,0.25
2026-01-01T05:10:00,-8.18,2.11,78.03,0.85,419.93,0,2025-07-01T05:10:00,23.03,19.32,94.01,0.76,419.7,0.5
2026-01-01T05:15:00,-8.22,2.1,77.89,0.85,419.87,0,2025-07-01T05:15:00,23.05,19.32,93.91,0.76,419.73,0.75
2026-01-01T05:20:00,-8.27,2.1,78.18,0.85,419.79,0,2025-07-01T05:20:00,23.07,19.32,93.8,0.76,419.75,1
2026-01-01T05:25:00,-8.31,2.09,78.03,0.85,419.73,0,2025-07-01T05:25:00,23.08,19.32,93.75,0.76,419.77,1.25
2026-01-01T05:30:00,-8.35,2.08,77.89,0.85,419.67,0,2025-07-01T05:30:00,23.1,19.33,93.69,0.76,419.8,1.5
2026-01-01T05:35:00,-8.39,2.08,78.12,0.85,419.6,0,2025-07-01T05:35:00,23.12,19.33,93.58,0.76,419.82,1.75
2026-01-01T05:40:00,-8.43,2.07,77.98,0.85,419.54,0,2025-07-01T05:40:00,23.13,19.33,93.53,0.76,419.84,2
2026-01-01T05:45:00,-8.47,2.06,77.83,0.85,419.48,0,2025-07-01T05:45:00,23.15,19.33,93.42,0.76,419.87,2.25
2026-01-01T05:50:00,-8.52,2.06,78.12,0.85,419.4,0,2025-07-01T05:50:00,23.17,19.33,93.31,0.76,419.9,2.5
2026-01-01T05:55:00,-8.56,2.05,77.97,0.85,419.33,0,2025-07-01T05:55:00,23.18,19.33,93.26,0.76,419.91,2.75
2026-01-01T06:00:00,-8.6,2.04,77.82,0.85,419.27,0,2025-07-01T06:00:00,23.2,19.33,93.16,0.76,419.94,3
