Datetime,T_Outdoor(C),H_Outdoor(g/m3),CO2_Outdoor(g/m3),Radiation_Outdoor(w/m2)
2024-06-01 00:00:00,13.2,7.69,0.79,0.0
2024-06-01 00:05:00,13.09,7.68,0.79,0.0
2024-06-01 00:10:00,12.98,7.68,0.79,0.0
2024-06-01 00:15:00,12.88,7.68,0.79,0.0
2024-06-01 00:20:00,12.77,7.67,0.8,0.0
2024-06-01 00:25:00,12.66,7.67,0.8,0.0
2024-06-01 00:30:00,12.55,7.66,0.8,0.0
2024-06-01 00:35:00,12.44,7.65,0.8,0.0
2024-06-01 00:40:00,12.33,7.65,0.8,0.0
2024-06-01 00:45:00,12.22,7.64,0.8,0.0
2024-06-01 00:50:00,12.12,7.64,0.8,0.0
2024-06-01 00:55:00,12.01,7.63,0.8,0.0
2024-06-01 01:00:00,11.9,7.62,0.8,0.0
2024-06-01 01:05:00,11.8,7.62,0.8,0.0
2024-06-01 01:10:00,11.7,7.61,0.8,0.0
2024-06-01 01:15:00,11.6,7.61,0.8,0.0
2024-06-01 01:20:00,11.5,7.6,0.8,0.0
2024-06-01 01:25:00,11.4,7.6,0.8,0.0
2024-06-01 01:30:00,11.3,7.59,0.8,0.0
2024-06-01 01:35:00,11.2,7.59,0.8,0.0
2024-06-01 01:40:00,11.1,7.58,0.8,0.0
2024-06-01 01:45:00,11.0,7.58,0.8,0.0
2024-06-01 01:50:00,10.9,7.57,0.8,0.0
2024-06-01 01:55:00,10.8,7.57,0.8,0.0
2024-06-01 02:00:00,10.7,7.56,0.8,0.0
2024-06-01 02:05:00,10.63,7.55,0.8,0.0
2024-06-01 02:10:00,10.57,7.54,0.8,0.0
2024-06-01 02:15:00,10.5,7.54,0.8,0.0
2024-06-01 02:20:00,10.43,7.53,0.8,0.0
2024-06-01 02:25:00,10.37,7.52,0.8,0.0
2024-06-01 02:30:00,10.3,7.51,0.8,0.0
2024-06-01 02:35:00,10.23,7.51,0.8,0.0
2024-06-01 02:40:00,10.17,7.5,0.8,0.0
2024-06-01 02:45:00,10.1,7.49,0.8,0.0
2024-06-01 02:50:00,10.03,7.48,0.8,0.0
2024-06-01 02:55:00,9.97,7.47,0.8,0.0
2024-06-01 03:00:00,9.9,7.47,0.8,0.0
2024-06-01 03:05:00,9.89,7.45,0.8,0.0
2024-06-01 03:10:00,9.88,7.43,0.8,0.0
2024-06-01 03:15:00,9.88,7.41,0.8,0.0
2024-06-01 03:20:00,9.87,7.39,0.8,0.0
2024-06-01 03:25:00,9.86,7.37,0.8,0.0
2024-06-01 03:30:00,9.85,7.35,0.8,0.0
2024-06-01 03:35:00,9.84,7.33,0.8,0.0
2024-06-01 03:40:00,9.83,7.31,0.8,0.0
2024-06-01 03:45:00,9.83,7.29,0.8,0.0
2024-06-01 03:50:00,9.82,7.27,0.8,0.0
2024-06-01 03:55:00,9.81,7.25,0.8,0.0
2024-06-01 04:00:00,9.8,7.23,0.8,0.0
2024-06-01 04:05:00,9.78,7.22,0.8,0.0
2024-06-01 04:10:00,9.77,7.2,0.8,0.0
2024-06-01 04:15:00,9.75,7.19,0.8,0.0
2024-06-01 04:20:00,9.73,7.17,0.8,0.0
2024-06-01 04:25:00,9.72,7.16,0.8,0.0
2024-06-01 04:30:00,9.7,7.14,0.8,0.0
2024-06-01 04:35:00,9.68,7.13,0.8,0.0
2024-06-01 04:40:00,9.67,7.11,0.8,0.0
2024-06-01 04:45:00,9.65,7.1,0.8,0.0
2024-06-01 04:50:00,9.63,7.08,0.8,0.0
2024-06-01 04:55:00,9.62,7.07,0.8,0.0
2024-06-01 05:00:00,9.6,7.05,0.81,0.0
2024-06-01 05:05:00,9.6,7.04,0.81,0.5
2024-06-01 05:10:00,9.6,7.03,0.81,1.0
2024-06-01 05:15:00,9.6,7.03,0.81,1.5
2024-06-01 05:20:00,9.6,7.02,0.81,2.0
2024-06-01 05:25:00,9.6,7.01,0.81,2.5
2024-06-01 05:30:00,9.6,7.0,0.81,3.0
2024-06-01 05:35:00,9.6,7.0,0.81,3.5
2024-06-01 05:40:00,9.6,6.99,0.81,4.0
2024-06-01 05:45:00,9.6,6.98,0.81,4.5
2024-06-01 05:50:00,9.6,6.97,0.81,5.0
2024-06-01 05:55:00,9.6,6.97,0.81,5.5
2024-06-01 06:00:00,9.6,6.96,0.81,6.0
2024-06-01 06:05:00,9.82,6.98,0.8,14.33
2024-06-01 06:10:00,10.05,7.0,0.8,22.67
2024-06-01 06:15:00,10.28,7.02,0.8,31.0
2024-06-01 06:20:00,10.5,7.04,0.8,39.33
2024-06-01 06:25:00,10.72,7.06,0.8,47.67
2024-06-01 06:30:00,10.95,7.08,0.8,56.0
2024-06-01 06:35:00,11.18,7.1,0.8,64.33
2024-06-01 06:40:00,11.4,7.11,0.8,72.67
2024-06-01 06:45:00,11.62,7.13,0.8,81.0
2024-06-01 06:50:00,11.85,7.14,0.8,89.33
2024-06-01 06:55:00,12.08,7.15,0.8,97.67
2024-06-01 07:00:00,12.3,7.16,0.8,106.0
2024-06-01 07:05:00,12.58,7.27,0.8,120.75
2024-06-01 07:10:00,12.87,7.38,0.8,135.5
2024-06-01 07:15:00,13.15,7.49,0.8,150.25
2024-06-01 07:20:00,13.43,7.61,0.79,165.0
2024-06-01 07:25:00,13.72,7.72,0.79,179.75
2024-06-01 07:30:00,14.0,7.84,0.79,194.5
2024-06-01 07:35:00,14.28,7.95,0.79,209.25
2024-06-01 07:40:00,14.57,8.07,0.79,224.0
2024-06-01 07:45:00,14.85,8.19,0.79,238.75
2024-06-01 07:50:00,15.13,8.31,0.79,253.5
2024-06-01 07:55:00,15.42,8.43,0.79,268.25
2024-06-01 08:00:00,15.7,8.56,0.79,283.0
2024-06-01 08:05:00,15.92,8.51,0.79,299.17
2024-06-01 08:10:00,16.15,8.45,0.79,315.33
2024-06-01 08:15:00,16.38,8.39,0.79,331.5
2024-06-01 08:20:00,16.6,8.33,0.79,347.67
2024-06-01 08:25:00,16.82,8.26,0.79,363.83
2024-06-01 08:30:00,17.05,8.2,0.78,380.0
2024-06-01 08:35:00,17.27,8.12,0.78,396.17
2024-06-01 08:40:00,17.5,8.05,0.78,412.33
2024-06-01 08:45:00,17.72,7.97,0.78,428.5
2024-06-01 08:50:00,17.95,7.88,0.78,444.67
2024-06-01 08:55:00,18.17,7.79,0.78,460.83
2024-06-01 09:00:00,18.4,7.7,0.78,477.0
2024-06-01 09:05:00,18.57,7.72,0.78,492.17
2024-06-01 09:10:00,18.75,7.73,0.78,507.33
2024-06-01 09:15:00,18.92,7.74,0.78,522.5
2024-06-01 09:20:00,19.1,7.76,0.78,537.67
2024-06-01 09:25:00,19.27,7.77,0.78,552.83
2024-06-01 09:30:00,19.45,7.78,0.78,568.0
2024-06-01 09:35:00,19.62,7.79,0.78,583.17
2024-06-01 09:40:00,19.8,7.8,0.78,598.33
2024-06-01 09:45:00,19.98,7.81,0.78,613.5
2024-06-01 09:50:00,20.15,7.81,0.78,628.67
2024-06-01 09:55:00,20.32,7.82,0.78,643.83
2024-06-01 10:00:00,20.5,7.83,0.78,659.0
2024-06-01 10:05:00,20.65,7.82,0.78,671.42
2024-06-01 10:10:00,20.8,7.81,0.77,683.83
2024-06-01 10:15:00,20.95,7.81,0.77,696.25
2024-06-01 10:20:00,21.1,7.8,0.77,708.67
2024-06-01 10:25:00,21.25,7.79,0.77,721.08
2024-06-01 10:30:00,21.4,7.78,0.77,733.5
2024-06-01 10:35:00,21.55,7.77,0.77,745.92
2024-06-01 10:40:00,21.7,7.76,0.77,758.33
2024-06-01 10:45:00,21.85,7.74,0.77,770.75
2024-06-01 10:50:00,22.0,7.73,0.77,783.17
2024-06-01 10:55:00,22.15,7.71,0.77,795.58
2024-06-01 11:00:00,22.3,7.7,0.77,808.0
2024-06-01 11:05:00,22.43,7.67,0.77,816.67
2024-06-01 11:10:00,22.55,7.64,0.77,825.33
2024-06-01 11:15:00,22.68,7.61,0.77,834.0
2024-06-01 11:20:00,22.8,7.58,0.77,842.67
2024-06-01 11:25:00,22.93,7.55,0.77,851.33
2024-06-01 11:30:00,23.05,7.52,0.77,860.0
2024-06-01 11:35:00,23.18,7.49,0.77,868.67
2024-06-01 11:40:00,23.3,7.46,0.77,877.33
2024-06-01 11:45:00,23.43,7.42,0.77,886.0
2024-06-01 11:50:00,23.55,7.39,0.77,894.67
2024-06-01 11:55:00,23.68,7.35,0.77,903.33
2024-06-01 12:00:00,23.8,7.31,0.77,912.0
2024-06-01 12:05:00,23.9,7.3,0.77,917.25
2024-06-01 12:10:00,24.0,7.29,0.77,922.5
2024-06-01 12:15:00,24.1,7.27,0.77,927.75
2024-06-01 12:20:00,24.2,7.26,0.77,933.0
2024-06-01 12:25:00,24.3,7.25,0.76,938.25
2024-06-01 12:30:00,24.4,7.23,0.76,943.5
2024-06-01 12:35:00,24.5,7.22,0.76,948.75
2024-06-01 12:40:00,24.6,7.2,0.76,954.0
2024-06-01 12:45:00,24.7,7.19,0.76,959.25
2024-06-01 12:50:00,24.8,7.17,0.76,964.5
2024-06-01 12:55:00,24.9,7.15,0.76,969.75
2024-06-01 13:00:00,25.0,7.14,0.76,975.0
2024-06-01 13:05:00,25.07,7.13,0.76,975.25
2024-06-01 13:10:00,25.15,7.12,0.76,975.5
2024-06-01 13:15:00,25.23,7.11,0.76,975.75
2024-06-01 13:20:00,25.3,7.1,0.76,976.0
2024-06-01 13:25:00,25.38,7.09,0.76,976.25
2024-06-01 13:30:00,25.45,7.08,0.76,976.5
2024-06-01 13:35:00,25.52,7.07,0.76,976.75
2024-06-01 13:40:00,25.6,7.06,0.76,977.0
2024-06-01 13:45:00,25.67,7.05,0.76,977.25
2024-06-01 13:50:00,25.75,7.04,0.76,977.5
2024-06-01 13:55:00,25.82,7.03,0.76,977.75
2024-06-01 14:00:00,25.9,7.02,0.76,978.0
2024-06-01 14:05:00,25.94,7.02,0.76,973.5
2024-06-01 14:10:00,25.98,7.01,0.76,969.0
2024-06-01 14:15:00,26.02,7.01,0.76,964.5
2024-06-01 14:20:00,26.07,7.01,0.76,960.0
2024-06-01 14:25:00,26.11,7.0,0.76,955.5
2024-06-01 14:30:00,26.15,7.0,0.76,951.0
2024-06-01 14:35:00,26.19,6.99,0.76,946.5
2024-06-01 14:40:00,26.23,6.99,0.76,942.0
2024-06-01 14:45:00,26.27,6.99,0.76,937.5
2024-06-01 14:50:00,26.32,6.98,0.76,933.0
2024-06-01 14:55:00,26.36,6.98,0.76,928.5
2024-06-01 15:00:00,26.4,6.97,0.76,924.0
2024-06-01 15:05:00,26.42,6.98,0.76,914.5
2024-06-01 15:10:00,26.43,6.98,0.76,905.0
2024-06-01 15:15:00,26.45,6.99,0.76,895.5
2024-06-01 15:20:00,26.47,7.0,0.76,886.0
2024-06-01 15:25:00,26.48,7.0,0.76,876.5
2024-06-01 15:30:00,26.5,7.01,0.76,867.0
2024-06-01 15:35:00,26.52,7.02,0.76,857.5
2024-06-01 15:40:00,26.53,7.02,0.76,848.0
2024-06-01 15:45:00,26.55,7.03,0.76,838.5
2024-06-01 15:50:00,26.57,7.04,0.76,829.0
2024-06-01 15:55:00,26.58,7.04,0.76,819.5
2024-06-01 16:00:00,26.6,7.05,0.76,810.0
2024-06-01 16:05:00,26.57,7.06,0.76,793.42
2024-06-01 16:10:00,26.53,7.07,0.76,776.83
2024-06-01 16:15:00,26.5,7.07,0.76,760.25
2024-06-01 16:20:00,26.47,7.08,0.76,743.67
2024-06-01 16:25:00,26.43,7.09,0.76,727.08
2024-06-01 16:30:00,26.4,7.1,0.76,710.5
2024-06-01 16:35:00,26.37,7.1,0.76,693.92
2024-06-01 16:40:00,26.33,7.11,0.76,677.33
2024-06-01 16:45:00,26.3,7.12,0.76,660.75
2024-06-01 16:50:00,26.27,7.13,0.76,644.17
2024-06-01 16:55:00,26.23,7.13,0.76,627.58
2024-06-01 17:00:00,26.2,7.14,0.76,611.0
2024-06-01 17:05:00,26.07,7.34,0.76,591.33
2024-06-01 17:10:00,25.95,7.53,0.76,571.67
2024-06-01 17:15:00,25.82,7.72,0.76,552.0
2024-06-01 17:20:00,25.7,7.9,0.76,532.33
2024-06-01 17:25:00,25.57,8.08,0.76,512.67
2024-06-01 17:30:00,25.45,8.26,0.76,493.0
2024-06-01 17:35:00,25.32,8.44,0.76,473.33
2024-06-01 17:40:00,25.2,8.61,0.76,453.67
2024-06-01 17:45:00,25.07,8.79,0.76,434.0
2024-06-01 17:50:00,24.95,8.95,0.76,414.33
2024-06-01 17:55:00,24.82,9.12,0.76,394.67
2024-06-01 18:00:00,24.7,9.28,0.76,375.0
2024-06-01 18:05:00,24.47,9.44,0.76,357.83
2024-06-01 18:10:00,24.25,9.6,0.76,340.67
2024-06-01 18:15:00,24.02,9.75,0.76,323.5
2024-06-01 18:20:00,23.8,9.89,0.76,306.33
2024-06-01 18:25:00,23.57,10.03,0.76,289.17
2024-06-01 18:30:00,23.35,10.17,0.76,272.0
2024-06-01 18:35:00,23.12,10.3,0.77,254.83
2024-06-01 18:40:00,22.9,10.42,0.77,237.67
2024-06-01 18:45:00,22.68,10.54,0.77,220.5
2024-06-01 18:50:00,22.45,10.65,0.77,203.33
2024-06-01 18:55:00,22.23,10.76,0.77,186.17
2024-06-01 19:00:00,22.0,10.87,0.77,169.0
2024-06-01 19:05:00,21.88,10.96,0.77,160.08
2024-06-01 19:10:00,21.75,11.06,0.77,151.17
2024-06-01 19:15:00,21.62,11.16,0.77,142.25
2024-06-01 19:20:00,21.5,11.25,0.77,133.33
2024-06-01 19:25:00,21.38,11.34,0.77,124.42
2024-06-01 19:30:00,21.25,11.43,0.77,115.5
2024-06-01 19:35:00,21.12,11.51,0.77,106.58
2024-06-01 19:40:00,21.0,11.6,0.77,97.67
2024-06-01 19:45:00,20.88,11.68,0.77,88.75
2024-06-01 19:50:00,20.75,11.76,0.77,79.83
2024-06-01 19:55:00,20.62,11.84,0.77,70.92
2024-06-01 20:00:00,20.5,11.92,0.77,62.0
2024-06-01 20:05:00,20.27,11.95,0.77,57.58
2024-06-01 20:10:00,20.03,11.97,0.77,53.17
2024-06-01 20:15:00,19.8,11.99,0.77,48.75
2024-06-01 20:20:00,19.57,12.01,0.77,44.33
2024-06-01 20:25:00,19.33,12.03,0.78,39.92
2024-06-01 20:30:00,19.1,12.04,0.78,35.5
2024-06-01 20:35:00,18.87,12.05,0.78,31.08
2024-06-01 20:40:00,18.63,12.06,0.78,26.67
2024-06-01 20:45:00,18.4,12.07,0.78,22.25
2024-06-01 20:50:00,18.17,12.07,0.78,17.83
2024-06-01 20:55:00,17.93,12.07,0.78,13.42
2024-06-01 21:00:00,17.7,12.06,0.78,9.0
2024-06-01 21:05:00,17.65,12.05,0.78,8.25
2024-06-01 21:10:00,17.6,12.04,0.78,7.5
2024-06-01 21:15:00,17.55,12.03,0.78,6.75
2024-06-01 21:20:00,17.5,12.02,0.78,6.0
2024-06-01 21:25:00,17.45,12.01,0.78,5.25
2024-06-01 21:30:00,17.4,12.0,0.78,4.5
2024-06-01 21:35:00,17.35,11.99,0.78,3.75
2024-06-01 21:40:00,17.3,11.98,0.78,3.0
2024-06-01 21:45:00,17.25,11.96,0.78,2.25
2024-06-01 21:50:00,17.2,11.95,0.78,1.5
2024-06-01 21:55:00,17.15,11.94,0.78,0.75
2024-06-01 22:00:00,17.1,11.93,0.78,0.0
2024-06-01 22:05:00,16.9,11.86,0.78,0.0
2024-06-01 22:10:00,16.7,11.79,0.78,0.0
2024-06-01 22:15:00,16.5,11.72,0.78,0.0
2024-06-01 22:20:00,16.3,11.65,0.78,0.0
2024-06-01 22:25:00,16.1,11.58,0.78,0.0
2024-06-01 22:30:00,15.9,11.5,0.78,0.0
2024-06-01 22:35:00,15.7,11.43,0.78,0.0
2024-06-01 22:40:00,15.5,11.36,0.79,0.0
2024-06-01 22:45:00,15.3,11.29,0.79,0.0
2024-06-01 22:50:00,15.1,11.22,0.79,0.0
2024-06-01 22:55:00,14.9,11.15,0.79,0.0
2024-06-01 23:00:00,14.7,11.07,0.79,0.0
2024-06-01 23:05:00,14.63,10.91,0.79,0.0
2024-06-01 23:10:00,14.57,10.75,0.79,0.0
2024-06-01 23:15:00,14.5,10.6,0.79,0.0
2024-06-01 23:20:00,14.43,10.44,0.79,0.0
2024-06-01 23:25:00,14.37,10.28,0.79,0.0
2024-06-01 23:30:00,14.3,10.13,0.79,0.0
2024-06-01 23:35:00,14.23,9.98,0.79,0.0
2024-06-01 23:40:00,14.17,9.82,0.79,0.0
2024-06-01 23:45:00,14.1,9.67,0.79,0.0
2024-06-01 23:50:00,14.03,9.52,0.79,0.0
2024-06-01 23:55:00,13.97,9.37,0.79,0.0
2024-06-02 00:00:00,13.9,9.23,0.79,0.0
2024-06-02 00:05:00,13.91,9.15,0.79,0.0
2024-06-02 00:10:00,13.92,9.07,0.79,0.0
2024-06-02 00:15:00,13.93,9.0,0.79,0.0
2024-06-02 00:20:00,13.93,8.92,0.79,0.0
2024-06-02 00:25:00,13.94,8.85,0.79,0.0
2024-06-02 00:30:00,13.95,8.77,0.79,0.0
2024-06-02 00:35:00,13.96,8.7,0.79,0.0
2024-06-02 00:40:00,13.97,8.62,0.79,0.0
2024-06-02 00:45:00,13.97,8.55,0.79,0.0
2024-06-02 00:50:00,13.98,8.47,0.79,0.0
2024-06-02 00:55:00,13.99,8.39,0.79,0.0
2024-06-02 01:00:00,14.0,8.32,0.79,0.0
2024-06-02 01:05:00,13.97,8.35,0.79,0.0
2024-06-02 01:10:00,13.95,8.37,0.79,0.0
2024-06-02 01:15:00,13.93,8.4,0.79,0.0
2024-06-02 01:20:00,13.9,8.43,0.79,0.0
2024-06-02 01:25:00,13.88,8.45,0.79,0.0
2024-06-02 01:30:00,13.85,8.48,0.79,0.0
2024-06-02 01:35:00,13.82,8.51,0.79,0.0
2024-06-02 01:40:00,13.8,8.53,0.79,0.0
2024-06-02 01:45:00,13.78,8.56,0.79,0.0
2024-06-02 01:50:00,13.75,8.59,0.79,0.0
2024-06-02 01:55:00,13.72,8.61,0.79,0.0
2024-06-02 02:00:00,13.7,8.64,0.79,0.0
2024-06-02 02:05:00,13.67,8.67,0.79,0.0
2024-06-02 02:10:00,13.63,8.7,0.79,0.0
2024-06-02 02:15:00,13.6,8.73,0.79,0.0
2024-06-02 02:20:00,13.57,8.76,0.79,0.0
2024-06-02 02:25:00,13.53,8.79,0.79,0.0
2024-06-02 02:30:00,13.5,8.83,0.79,0.0
2024-06-02 02:35:00,13.47,8.86,0.79,0.0
2024-06-02 02:40:00,13.43,8.89,0.79,0.0
2024-06-02 02:45:00,13.4,8.92,0.79,0.0
2024-06-02 02:50:00,13.37,8.95,0.79,0.0
2024-06-02 02:55:00,13.33,8.98,0.79,0.0
2024-06-02 03:00:00,13.3,9.01,0.79,0.0
2024-06-02 03:05:00,13.29,9.01,0.79,0.0
2024-06-02 03:10:00,13.28,9.02,0.79,0.0
2024-06-02 03:15:00,13.28,9.02,0.79,0.0
2024-06-02 03:20:00,13.27,9.03,0.79,0.0
2024-06-02 03:25:00,13.26,9.03,0.79,0.0
2024-06-02 03:30:00,13.25,9.04,0.79,0.0
2024-06-02 03:35:00,13.24,9.04,0.79,0.0
2024-06-02 03:40:00,13.23,9.05,0.79,0.0
2024-06-02 03:45:00,13.22,9.05,0.79,0.0
2024-06-02 03:50:00,13.22,9.06,0.79,0.0
2024-06-02 03:55:00,13.21,9.06,0.79,0.0
2024-06-02 04:00:00,13.2,9.07,0.79,0.0
2024-06-02 04:05:00,13.18,9.05,0.79,0.0
2024-06-02 04:10:00,13.17,9.03,0.79,0.0
2024-06-02 04:15:00,13.15,9.01,0.79,0.0
2024-06-02 04:20:00,13.13,8.99,0.79,0.0
2024-06-02 04:25:00,13.12,8.97,0.79,0.0
2024-06-02 04:30:00,13.1,8.95,0.79,0.0
2024-06-02 04:35:00,13.08,8.93,0.79,0.0
2024-06-02 04:40:00,13.07,8.92,0.79,0.0
2024-06-02 04:45:00,13.05,8.9,0.79,0.0
2024-06-02 04:50:00,13.03,8.88,0.79,0.0
2024-06-02 04:55:00,13.02,8.86,0.79,0.0
2024-06-02 05:00:00,13.0,8.84,0.79,0.0
2024-06-02 05:05:00,12.99,8.83,0.79,0.33
2024-06-02 05:10:00,12.98,8.81,0.79,0.67
2024-06-02 05:15:00,12.97,8.8,0.79,1.0
